Pair,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06
AUDUSD_GBPNZD,0.0,0.0,0.0,-4485.82,5497.71,2774.94,566.8,0.0,502.1,0.0,1568.15,2067.58,0.0,0.0,-3166.54,4177.69,0.0,504.96,2050.12,2569.76,1082.33,2574.12,1506.5,1636.99,1034.29,1117.1999999999998,0.0,2073.6400000000003,1068.38,1076.99,0.0,0.0,-4778.4800000000005,0.0,1596.02,1525.37,1129.06,1542.26,0.0,1069.96,1012.77,0.0,0.0,0.0,314.65,0.0,501.68,0.0,514.61,0.0,510.98,509.42,0.0,0.0,0.0,-841.72,0.0,0.0,1063.1399999999999,1009.37,0.0,506.29,0.0,528.84,0.0,0.0
EURAUD_AUDCHF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.53,0.0,1272.9,0.0,0.0,521.23,0.0,0.0,0.0,658.43,0.0,548.35,0.0,508.87,0.0,0.0,3125.29,0.0,0.0,705.84,0.0,0.0,0.0,516.17,0.0,516.48,1235.25,1561.89,1088.93,1009.77,508.54,1761.85,3085.52,2016.16,2534.51,0.0,508.75,521.61,1026.53,523.26,524.59,515.99,2151.64,1030.58,1050.48,1678.31,1562.51,557.36,1582.1499999999999,671.41
EURAUD_AUDJPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.1,508.44,0.0,501.81,0.0,0.0,0.0,0.0,549.64,0.0,0.0,506.75,516.95,1054.3,507.55,1030.68,0.0,544.02,1010.8,0.0,502.03,1545.97,511.52,1043.95,1004.3299999999999,0.0,1015.2,0.0,1029.72,1542.56,2360.41,0.0,0.0,0.0,-2939.18,0.0,0.0,-1286.71,500.51,2703.91,1586.55,1721.68,1537.25,1537.83,1046.44,2181.01,1085.66,584.29,0.0
EURAUD_CADCHF,0.0,0.0,644.37,2155.76,505.88,0.0,1630.65,1124.51,539.13,0.0,0.0,1029.26,567.05,526.7,0.0,0.0,0.0,-2406.87,1603.81,596.39,507.55,2050.96,1149.59,2253.69,0.0,1250.87,1016.8,1558.93,1574.33,3332.56,3003.1,579.07,517.25,2192.56,2143.6,0.0,0.0,0.0,-5161.13,0.0,3690.62,3965.0099999999998,1549.9,0.0,3380.42,4183.09,4313.57,0.0,2144.92,0.0,0.0,0.0,-612.7600000000001,1940.62,8045.81,0.0,0.0,0.0,-7420.509999999999,2001.23,0.0,3534.16,0.0,3339.45,3955.43,3695.09
EURCAD_CADJPY,530.42,0.0,0.0,506.13,1142.7800000000002,1019.32,0.0,520.48,1557.9399999999998,1025.4,0.0,0.0,0.0,0.0,-2566.76,1007.1600000000001,509.22,503.46,0.0,536.77,0.0,0.0,0.0,0.0,0.0,1557.5900000000001,1100.9,521.17,0.0,1050.1399999999999,1011.97,0.0,3200.04,539.76,2208.5699999999997,1017.66,535.81,1115.76,1578.52,0.0,0.0,0.0,-2084.5,515.22,0.0,522.64,1017.5699999999999,0.0,0.0,-840.06,2084.95,519.44,0.0,0.0,0.0,-1207.7,1536.09,1526.3,2123.04,1005.52,0.0,1582.96,1669.56,506.73,0.0,0.0
EURGBP_GBPCHF,0.0,0.0,0.0,1122.38,0.0,0.0,0.0,0.0,0.0,505.71,0.0,0.0,0.0,0.0,0.0,657.08,0.0,0.0,0.0,-1946.83,0.0,545.05,1056.38,500.12,1044.8400000000001,663.33,0.0,0.0,504.81,4572.5,1021.3899999999999,508.21,503.26,569.65,508.54,1030.46,1061.29,1576.18,2090.9700000000003,2727.86,1048.3600000000001,510.04,1524.4,1593.54,1005.11,1066.44,1007.84,0.0,0.0,0.0,-542.53,0.0,0.0,1561.69,501.23,0.0,0.0,0.0,-1522.88,1065.33,0.0,0.0,-1819.94,514.36,0.0,1508.24
GBPNZD_NZDCHF,507.35,0.0,1078.48,1171.15,7592.59,7755.04,3869.12,5696.22,5053.04,5397.07,-12783.83,2616.69,0.0,1162.3400000000001,2754.29,4264.62,6515.27,4734.5599999999995,1371.81,518.23,4816.53,2128.08,1181.24,0.0,513.25,0.0,617.5,5501.17,5728.0599999999995,5071.9,5318.74,6089.0199999999995,6545.7,7002.8,1146.6,2311.79,0.0,1027.5700000000002,4244.41,10111.58,7082.96,10431.15,1557.93,0.0,0.0,-5555.98,754.13,2112.04,501.41,0.0,0.0,-7034.08,531.72,2578.19,4023.54,516.1,1060.77,0.0,0.0,-1825.4499999999998,3778.14,2802.7,3305.52,500.14,0.0,0.0
GBPUSD_USDCAD,2247.51,1588.28,2824.32,1058.25,1084.9499999999998,0.0,505.3,531.53,1072.18,549.7,0.0,1087.79,0.0,513.47,0.0,0.0,0.0,-4700.04,0.0,0.0,510.19,508.57,1022.03,0.0,0.0,0.0,1138.08,1013.65,1042.76,0.0,0.0,0.0,608.89,513.97,0.0,0.0,0.0,0.0,-2045.46,555.41,0.0,1076.73,0.0,1570.54,511.74,0.0,1564.1799999999998,2051.65,0.0,0.0,0.0,-1384.1100000000001,0.0,516.11,0.0,562.95,0.0,0.0,543.04,1038.21,529.72,512.23,1053.77,503.11,1567.27,532.94
GBPUSD_USDCHF,2632.92,2263.29,1099.85,0.0,1032.03,1107.1399999999999,0.0,0.0,-4769.8,1621.35,0.0,505.24,638.2,0.0,0.0,0.0,-3538.84,1043.92,1664.06,1034.35,1024.22,632.37,1547.1399999999999,1537.05,1023.22,540.38,520.35,1176.6399999999999,1075.25,1980.99,0.0,0.0,1281.15,517.13,0.0,555.75,0.0,518.56,1597.87,512.35,1664.97,594.64,1065.71,0.0,0.0,-4847.31,0.0,1610.83,529.99,509.93,1077.63,2087.09,1593.94,2616.75,0.0,1033.5700000000002,511.15,0.0,1011.92,0.0,0.0,0.0,542.49,500.38,500.19,1193.5300000000002
USDCAD_AUDCHF,1547.6299999999999,0.0,0.0,0.0,-4505.75,0.0,1556.64,513.84,0.0,518.0,1021.35,505.77,1029.8600000000001,512.12,0.0,513.72,1549.45,2713.81,1526.3600000000001,1169.2,0.0,0.0,1574.66,555.59,0.0,516.96,1534.97,500.7,0.0,0.0,-1832.13,529.96,500.35,1017.97,1035.57,1531.21,0.0,536.21,1019.26,550.94,0.0,0.0,-4083.49,3573.65,2667.35,1028.72,1070.8400000000001,1051.98,0.0,0.0,1548.6399999999999,0.0,0.0,0.0,-31.57999999999987,0.0,0.0,1063.5,519.6,3187.99,2813.7799999999997,1010.7,1557.39,510.02,0.0,0.0
USDJPY_EURCAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3839.67,1415.54,1295.42,0.0,1066.42,554.28,2256.79,0.0,1291.81,3017.32,0.0,890.6,1117.56,0.0,1398.6399999999999,1044.81,3286.69,1100.45,1230.85,0.0,2167.8,502.82,1102.77,0.0,0.0,0.0,-5033.9,695.75,0.0,0.0
USDJPY_NZDUSD,0.0,0.0,0.0,0.0,0.0,1276.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.99,1424.1100000000001,1432.49,0.0,567.03,0.0,1252.77,1016.89,551.23,0.0,0.0,1242.37,0.0,0.0,0.0,1671.93,632.26,885.73,0.0,504.21,4235.9,3173.64,1032.8,535.61,0.0,3195.4,1633.04,0.0,2355.3,1636.4899999999998
